Circumstellar Disks http://www.circumstellardisks.org/,,,,,,,,,,,,,,,,,,,,,,,
PDS 66,TT,K1 IV,10.3,86,0.82,71,32,9.1,1.1,MP Mus,13 22 07.55,-69 38 12.2,,,,,0.09,1/1/2005,3/18/2019 22:12,,0,0,
MWC 480,HAe,A2e,7.8,161,1.3,209,36,9.3,1330,,04 58 46.26,+29 50 37.0,Taurus,II,,148,0.14,1/1/2005,12/23/2019 21:31,,0,0,
GG Tau,TT,K7,10.8,140,8.6,1204,37,9.8,1360.22,,04 32 30.30,+17 31 41.0,Taurus,,,97,0.88,1/1/2005,10/21/2019 17:26,,0,0,
V883 Ori,YSO,,,414,0.3,124,38,10,1300,,05 38 18.10,-07 02 26.0,Orion,I,,34,0.03,8/8/2017,12/26/2019 18:47,,,,
DL Tau,TT,K7,11.8,159,1.23,196,45,10.3,1330,,04 33 39.07,+25 20 38.1,Taurus,II,,52,0.12,1/1/2005,12/23/2019 21:21,,0,0,
Orion 193-1659,UC,,,414,0.8,331.2,,10.3,0.9,,05 35 19.25,-05 16 58.7,,,,100,0.08,1/1/2005,1/12/2016,,0,0,
UZ Tau E,TT,M1,11.2,131,1.24,162,56,10.3,1330,,04 32 43.07,+25 52 31.1,Taurus,II,2,90,0.12,1/1/2005,12/23/2019 21:15,,0,0,
IQ Tau,TT,M0.5,12.4,131,1.47,193,62,10.5,1330,,04 29 51.56,+26 06 44.8,Taurus,II,0,42,0.14,1/1/2005,12/23/2019 21:28,,0,0,
Orion 321-602,TT,,22,440,0.6,264,85,10.7,0.65,,05 35 32.10,-05 26 01.9,Orion,,,121,0.05586,12/26/2009,12/26/2019 12:30,,,,
2MASSI J1628137-243139,TT,,17.7,140,4.3,602,86,10.8,2.1,&quot;Flying Saucer&quot;,16 28 13.70,-24 31 39.0,,,2.4,95,0.4,1/1/2005,10/29/2018 20:44,,0,0,
V4046 Sgr,TT,K5,9.6,73,2.5,183,32,10.9,870,,18 14 10.47,-32 47 34.5,,,,74,0.23,1/1/2005,12/23/2019 16:04,,0,0,
HD 135344B,HAe,F4Ve,8.7,140,1.15,161,20,11.5,1.15,SAO 206462B,15 15 48.44,-37 09 16.0,,,0.4,56,0.1,1/1/2005,10/21/2019 18:01,,0,0,
Orion 141-1952,UC,G8?,,414,0.7,290,25,11.7,0.66,,05 35 14.05,-05 19 52.1,,,,40,0.06,1/1/2005,12/26/2019 14:45,,0,0,
IRAS 04158+2805,TT,M3,18.5,140,8,1120,62,12.3,2.2,,04 18 58.14,+28 12  23.3,,,,88,0.65,1/1/2005,12/26/2019 19:10,,0,0,
Orion 172-028,UC,M3,,414,0.7,289.8,55,12.4,0.66,,05 35 17.22,-05 20 28.1,,,0.4,140,0.06,1/1/2005,1/12/2016,,0,0,
Orion 183-405,UC,M3,,414,0.7,289.8,39,12.4,0.66,,05 35 18.33,-05 24 04.9,,,0.5,43,0.06,1/1/2005,12/23/2019 16:28,,0,0,
Orion 347-1535,UC,,,414,0.7,289.8,,12.4,0.66,,05 35 34.67,-05 15 34.8,,,,315,0.06,1/1/2005,1/12/2016,,0,0,
Orion 346-1553,UC,M4,,414,0.5,207,0,12.5,0.44,,05 35 34.62,-05 15 52.9,,,,,0.04,1/1/2005,12/26/2019 12:46,,0,0,
Orion 473-245,UC,,,414,0.75,311,88,12.5,0.66,,05 35 47.34,-05 22 44.8,,,,60,0.06,1/1/2005,12/26/2019 12:50,,0,0,
DoAr 33,TT,K4,13.2,139,0.39,54,42,13,1250,,16 27 39.01,-23 58 18.7,Ophiuchus,II,,81,0.03,12/18/2018,12/18/2019 23:37,,,,
Orion 280-1720,UC,M4,,414,0.8,331,0,13.3,0.66,,05 35 28.04,-05 17 20.2,,,,280,0.06,1/1/2005,12/26/2019 12:45,,0,0,
AS 205 A,TT,K0,12.8,128,0.414,53,20,13.4,1250,V866 Sco A,16 11 31.36,-18 38 25.3,Ophiuchus,II,0.388,114,0.031,1/1/2005,12/22/2019 22:40,,0,0,
Orion 230-536,UC,,,414,0.5,207,60,13.4,0.44,,05 35 23.02,-05 25 36.3,,,0.25,160,0.04,1/1/2005,1/12/2016,,0,0,
SR 4,TT,K7,11.7,134,0.46,62,22,13.5,1250,,16 25 56.17,-24 20 48.2,Ophiuchus,II,,18,0.034,12/19/2018,2/11/2020 13:24,,,,
eta Crv,Debris,F2 V,4.4,18.2,16.7,304,35,13.9,880,HD 109085,12 32 04.23,-16 11 45.6,,,,117,1.2,1/1/2005,2/22/2018 6:10,3.00E-05,0,0,
Orion 121-1925,UC,M4.5,,414,0.8,331.2,51,14.2,0.66,,05 35 12.10,-05 19 25.0,,,0.5,118,0.06,1/1/2005,1/12/2016,,0,0,
Orion 163-026,UC,M5,,414,0.8,331.2,78,14.2,0.66,,05 35 16.29,-05 20 25.9,,,0.2,159,0.06,1/1/2005,1/12/2016,,0,0,
HOPS 136,YSO,,,440,2,880,90,14.5,1.6,,05 38 46.54,-07 05 47.5,Orion,I,,113,0.1375,12/9/2014,12/15/2019 10:08,,,,
TWA 7,Debris,M2 Ve,11,34.5,2.03,70,28,14.8,1.6,,10 42 30.11,-33 40 16.2,,,,53,0.1375,7/11/2017,12/26/2019 18:31,0.0022,,,
Orion 053-717,UC,K5,13.6,414,0.9,373,80,15,0.66,V2151 Ori,05 35 05.41,-05 27 17.2,,,,110,0.06,1/1/2005,12/26/2019 14:38,,0,0,
Orion 110-3035,UC,,,414,0.9,373,75,15,0.66,,05 35 10.99,-05 30 35.2,,,,0,0.06,1/1/2005,12/26/2019 14:40,,0,0,
HD 114082,Debris,F3V,8.58,92,0.62,57,83,15.2,1.63,HIP 64184,13 09 16.19,-60 18 30.1,Sco-Cen,,,&ndash;74.3,0.04088,7/20/2017,3/12/2020 20:54,0.0033,,,
ESO Halpha 569,YSO,M2.5,19.7,160,0.8,128,83,15.3,0.61,,11 11 10.83,-76 41 57.4,Cha I,,,155,0.05243,5/8/2018,12/26/2019 18:39,,,,
Sz 114,TT,M5,14.4,162,0.72,117,21,15.3,1250,,16 09 01.85,-39 05 12.4,Lupus,II,,165,0.047,12/19/2018,12/19/2019 21:28,,,,
HD 117214,Debris,F6V,7.6,108,0.84,91,71,15.5,2.1,HIP 65875,13 30 08.97,-58 29 04.4,Sco-Cen,,,180,0.05414,3/12/2020,3/12/2020 21:55,0.0025,,,
Orion 332-405,UC,,,414,0.75,310.5,70,15.7,0.56,,05 35 33.19,-05 24 04.7,,,0.25,120,0.05,1/1/2005,1/12/2016,,0,0,
WSB 52,TT,M0,15.8,136,0.47,64,54,15.7,1250,,16 27 39.42,-24 39 15.5,Ophiuchus,II,,139,0.03,12/18/2018,12/18/2019 23:28,,,,
MWC 778,UC,,14,1000,2.4,2400,75,16,2.2,,05 50 13.90,+23 52 17.9,,,,25,0.15,1/1/2005,12/26/2019 19:07,,0,0,
HD 97048,HAe,A0,8.5,180,3.6,648,43,16.4,8.6,,11 08 03.32,-77 39 17.5,,,,,0.22,1/1/2005,9/10/2017 16:53,,0,0,
DM Tau,TT,M1,12.1,140,11.4,1596,32,17,1300.39,,04 33 48.73,+18 10 10.0,Taurus,,,-27,0.67,1/1/2005,11/8/2018 16:57,,0,0,
HV Tau C,TT,M0,13.2,140,1.2,168,84,17.1,0.8,,04 38 35.48,+26 10 41.7,Taurus,,1.2,110,0.07,1/1/2005,10/18/2018 11:25,,0,0,
Orion 294-606,UC,,,414,1,414,85,17.7,0.66,,05 35 29.38,-05 26 06.3,,,0.25,86,0.06,1/1/2005,1/12/2016,,0,0,
CI Tau,TT,K7,12.3,158,2.2,348,50,18.3,880,,04 33 52.00,+22 50 30.2,Taurus,II,,11,0.12,1/1/2005,12/23/2019 21:18,,0,0,
L1527 IRS,YSO,,,140,1.8,252,90,18.4,3.8,IRAS 04368+2557,04 39 53.59,+26 03 05.5,Taurus,0,,90,0.09798,1/1/2005,2/25/2018 20:27,,0,0,
DoAr 28,TT,K5,12.1,139,0.75,104,50,18.6,1.6,,16 26 47.42,-23 14 52.2,Oph,,,20,0.04025,5/9/2018,5/9/2018 13:26,,,,
HH 212,YSO,,-,400,0.38,152,90,19,850,IRAS 05413-0104,05 43 51.41,-01 02 53.1,Orion,0,,113,0.02,8/11/2017,8/11/2017 14:54,,,,
V1094 Sco,TT,K6,12.5,154,3.9,601,53,19.5,1330,,16 08 36.18,-39 23 02.5,Lupus,II,,109,0.2,5/4/2018,2/11/2020 13:23,,,,
TWA 25,Debris,M0,10.9,54,2.89,156,75,21,1.6,,12 15 30.72,-39 48 42.6,,,,156,0.1375,7/11/2017,12/26/2019 18:31,,,,
HD 200775,HBe,B2Ve,7.5,430,4.65,2000,65,21.1,8.8,,21 01 36.92,+68 09 47.8,,,,0,0.22,1/1/2005,7/17/2017 14:47,,0,0,
HK Tau B,TT,M1,14,140,1.5,210,84,21.4,0.8,,04 31 50.57,+24 24 15.0,Taurus,,0.8,40,0.07,1/1/2005,8/25/2019 14:20,,0,0,
HD 115600,Debris,F2,8.57,110.5,0.99,109,79,23,1.67,HIP 64995,13 19 19.54,-59 28 20.4,Sco-Cen,,,24,0.04308,7/20/2017,3/12/2020 20:55,0.0016,,,
HR 4796A,Debris,A0,5.8,67,2.1,141,76,23.3,0.6,,12 36 01.07,-39 52 10.0,,,0.6,27,0.09,1/1/2005,11/12/2018 20:18,0.005,0,0,
49 Cet,Debris,A1,5.6,59,9.8,578,79,24.5,850,HD 9672,01 34 37.78,-15 40 34.9,,,,109,0.4,1/1/2005,12/8/2019 20:42,0.0011,0,0,
Sz 129,TT,K7,11.9,161,0.94,151,34,24.7,1250,,15 59 16.47,-41 57 10.3,Lupus,II,,151,0.038,12/19/2018,12/19/2019 21:45,,,,
Orion 218-354,UC,G6-K3,,414,1.4,579.6,65,24.8,0.66,,05 35 21.79,-05 23 53.9,,,0.6,72,0.06,1/1/2005,12/20/2019 10:50,,0,0,
LkHa 263 C,TT,M0,13.7,275,1.1,302.5,87,25.9,1.65,,02 56 08.60,+20 03 40.7,,,0.75,142,0.04,1/1/2005,12/24/2018 13:38,,0,0,
HIP 67497,Debris,F0,8.69,107.4,1.09,117,80,26,1.67,HD 120326,13 49 54.50,-50 14 23.9,,,,&minus;93,0.04193,7/29/2017,12/26/2019 18:32,0.0011,,,
MY Lup,TT,K0,11.1,156,1.12,175,73,26,1250,PDS 77,16 00 44.52,-41 55 30.9,Lupus,II,,59,0.043,12/19/2018,12/22/2019 15:14,,,,
Orion 132-1832,UC,,,414,1.5,621,75,26.6,0.66,,05 35 13.21,-05 18 32.3,,,0.3,55,0.06,1/1/2005,7/5/2017 11:59,,0,0,
Orion 253-1536,UC,M2.5,,414,1.5,621,,26.6,0.66,,05 35 25.30,-05 15 35.5,,,,60,0.06,1/1/2005,1/12/2016,,0,0,
PDS 144N,HAe,A2IV,11.6,145,0.8,116,83,26.7,1.65,,15 49 15.53,-26 00 50.1,,,,47,0.03,1/1/2005,7/17/2017 14:54,,0,0,
epsilon Eri,Debris,K2,3.8,3.22,43,138,34,26.9,1300,,03 32 55.84,-09 27 29.7,,,,356,1.6,1/1/2005,,0.00011,0,0,
DG Tau B,TT,,,140,3.93,550,75,28.1,1.6,,04 27 02.55,+26 05 30.9,Taurus,,2.5,32,0.14,1/1/2005,10/18/2018 7:35,,0,0,
Haro 6-5B,YSO,K5,13.6,140,4,560,77,28.6,1.6,,04 22 00.69,+26 57 33.3,,,1.5,144,0.14,1/1/2005,12/10/2019 14:21,,0,0,
HD 142666,TT,A8,8.3,148,0.8,118,62,29.6,1250,,15 56 40.02,-22 01 40.0,Upper Sco,II,,162,0.027,12/19/2018,12/19/2019 22:12,,,,
WaOph 6,TT,K7,12,123,1.675,206,47,29.9,1250,,16 48 45.63,-14 16 36.0,Ophiuchus,,0.58,174,0.056,1/1/2005,12/15/2019 9:55,,0,0,
GW Lup,TT,M1.5,12.7,155,1.355,210,39,30.8,1250,Sz 71,15 46 44.73,-34 30 35.7,Lupus,II,,38,0.044,1/15/2019,12/25/2019 0:11,,,,
RU Lup,TT,M0,10.2,154,0.82,126,19,32.8,1250,,15 56 42.31,-37 49 15.5,Lupus II,,154,121,0.025,1/1/2005,12/22/2019 15:16,,0,0,
Elias 2-20,TT,M0,19.4,138,0.93,128,49,33.2,1250,,16 26 18.88,-24 28 19.7,Ophiuchus,II,,153,0.028,12/18/2018,12/19/2019 19:43,,,,
HD 169142,HAe,A5,8.2,117,3,351,0,33.3,1.65,,18 24 29.78,-29 46 49.4,,,3,,0.09,1/1/2005,9/7/2017 20:37,,0,0,
M17-SO1,YSO,,,2200,9,19800,77,36,2.2,,18 20 26.19,-16 12 10.5,,,,146,0.25,1/1/2005,8/6/2017 17:10,,0,0,
HD 157587,Debris,F5V,8.1,107,1.5,161,70,36.4,1.6,,17 24 52.24,-18 51 33.2,,,,127,0.04125,7/31/2017,8/1/2017 23:22,0.00079,,,
HD 143006,TT,G7,9.6,165,1,165,19,37,1250,V1149 Sco,15 58 36.91,-22 57 15.2,Upper Sco,II,,169,0.027,12/16/2018,12/19/2019 23:47,,,,
HD 181327,Debris,F5,7.1,50.6,3.4,172,32,37.8,1.1,,19 22 58.94,-54 32 17.0,,,,107,0.09,1/1/2005,8/2/2017 14:30,0.0025,0,0,
BP Psc,TT,,12.2,100,1.2,120,75,40,1.6,,23 22 24.69,-02 13 41.4,,,,118,0.03,1/1/2005,6/29/2017 8:21,,0,0,
HD 100453,HAe,A9Ve,7.8,103,0.84,87,38,40.7,0.8,,11 33 05.57,-54 19 28.5,,,,142,0.02063,1/2/2018,1/2/2018 9:23,,,,
HD 35650,Debris,K6V,8.29,18,5.6,101,89,40.7,1.6,,05 24 30.17,-38 58 10.8,,,,9,0.1375,7/11/2017,12/26/2019 18:50,0.000175,,,
HD 129590,Debris,G1V,9.86,133,1.65,219,74.56,41,1.6,HIP 72070,14 44 30.96,-39 59 20.6,Sco-Cen,,,121.8,0.04025,7/29/2017,3/12/2020 20:57,0.005,,,
CB 26,YSO,,,140,5.5,770,88,42.4,2.2,,04 59 50.74,+52 04 43.8,,,4,60,0.13,1/1/2005,1/12/2016,,0,0,
HH 30,TT,K7,16.4,140,3,420,83,42.9,0.8,,04 31 37.47,+18 12 24.8,Taurus,,1.8,122,0.07,1/1/2005,12/26/2019 19:09,,0,0,
IRAS 04302+2247,YSO,,,140,6,840,90,42.9,1.6,&quot;Butterfly Star&quot;,04 33 16.45,+22 53  20.7,,,2.85,175,0.14,1/1/2005,2/25/2018 20:28,,0,0,
WL 16,HAe,B8-A7,,140,7,980,62,43.8,7.9,,16 27 02.34,-24 37 27.2,,,3.5,60,0.16,1/1/2005,7/17/2017 14:48,,0,0,
PDS 70,TT,K5,11.3,140,2.5,350,62,44.5,2.18,,14 08 10.15,-41 23 52.5,,,,155,0.06,1/1/2005,12/14/2019 15:09,,0,0,
AA Tau,TT,M0,11.8,140,2.3,322,75,44.6,0.6,,04 34 55.42,+24 28 53.2,Taurus,,,86,0.05157,1/1/2005,10/18/2018 12:54,,0,0,
FN Tau,TT,M5,13.7,140,1.8,252,0,45,1.6,,04 14 14.59,+28 27 58.1,Taurus,,,,0.04,1/1/2005,10/18/2018 7:41,,0,0,
CoKu Tau 1,TT,M0,16.8,140,6.4,896,,45.7,1.6,,04 18 51.50,+28 20 28.0,Taurus,,3.9,120,0.14,1/1/2005,10/18/2018 7:42,,0,0,
Orion 216-0939,UC,K5,18.8,414,2.6,1076.4,,46.1,0.66,,05 35 21.57,-05 09 38.9,,,,277,0.06,1/1/2005,7/5/2017 11:58,,0,0,
HD 377,Debris,G2V,7.1,39,4.4,172,85,46.5,1.1,,00 08 25.75,+06 37 00.5,,,,47,0.09454,7/11/2017,12/26/2019 18:35,0.0002,,,
Orion 114-426,UC,,,414,2.7,1117.8,85,47.9,0.66,,05 35 11.35,-05 24 26.4,,,0.7,29,0.06,1/1/2005,1/19/2019 15:45,,0,0,
HD 36546,Debris,B8,6.93,114,2,228,75,48.2,1.65,,05 33 30.76,+24 37 43.7,,,,75,0.0415,7/29/2017,12/26/2019 18:34,0.004,,,
HD 100546,HAe,B9,6.7,103,7,721,51,50,1.6,,11 33 25.44,-70 11 41.2,,,5.4,161,0.14,1/1/2005,7/23/2019 15:34,,0,0,
HD 111520,Debris,F5 V,9.27,108,2.15,232,88,51.2,1.63,HIP 62657,12 50 19.72,-49 51 49.0,Sco-Cen,,,165,0.04203,7/27/2017,3/12/2020 21:26,0.002,,,
HD 106906,Debris,F5,8.24,92,2.11,194,85,52.8,1.6,HIP 59960,12 17 53.19,-55 58 31.9,Sco-Cen,,,283.7,0.04,1/18/2016,3/12/2020 21:23,0.0013,0,0,
GM Aur,TT,K7,11.2,140,5,700,54,52.9,1.1,,04 55 10.98,+30 21 59.7,,,3.8,,0.09,1/1/2005,1/12/2016,,0,0,
HD 141943,Debris,G2V,7.5,67,5,335,85,52.9,1.1,,15 53 27.29,+15 50 02.4,,,,145,0.09454,7/30/2017,12/26/2019 18:44,0.00012,,,
HD 30447,Debris,F3V,7.5,80,5,400,88,52.9,1.1,,04 46 49.53,-26 18 08.8,,,,35,0.09454,7/17/2017,8/8/2017 12:48,0.00079,,,
HL Tau,TT,K5,11.4,140,1.39,195,47,55.6,870,,04 31 38.47,+18 13 58.1,Taurus,,0.6,138,0.025,1/1/2005,10/18/2018 7:37,,0,0,
HD 202917,Debris,G7V,8.1,43,2.92,126,69,56.6,0.6,,21 20 49.96,-53 02 03.1,,,,108,0.05157,8/8/2017,8/8/2017 11:00,0.00025,,,
Elias 2-24,TT,K5.5,15.8,136,2,272,29,57.1,1250,,16 26 24.09,-24 16 13.3,Ophiuchus,,,46,0.035,1/1/2005,12/22/2019 15:29,,0,0,
AS 209,TT,K5,10.4,121,2.3,278,35,62.2,1250,V1121 Oph,16 49 15.31,-14 22 08.6,,,,86,0.037,1/1/2005,12/19/2019 23:07,,0,0,
HD 150193A,HAe,A2 IV,8.9,150,2.6,390,38,65,1.6,,16 40 17.92,-23 53 45.2,,,,358,0.04,1/1/2005,7/17/2017 14:51,,0,0,
Oph IRS 48,Trans,A0,16.7,121,2.64,319,42,65.6,1.6,WLY 2-48,16 27 37.19,-24 30 35,Ophiuchus,,,97,0.04025,2/27/2018,2/27/2018 7:02,,,,
IRAS 18059-3211,PPN,A0,13.6,1000,5.5,5500,90,68.8,0.55,Gomez&#039;s Hamburger,18 09 13.43,-32 10 48.0,,,3.5,-5,0.08,1/1/2005,8/27/2019 17:49,,0,0,
CAHA J23056+6016,YSO?,,,3500,3,10500,10,74.5,1.6,,23 05 37.52,+60 15 45.8,,,1.5,80,0.04,1/1/2005,1/12/2016,,0,0,
DoAr 25,TT,K7,12.7,138,2.4,331,67,77.4,1250,,16 26 23.68,-24 43 13.9,Ophiuchus,,,111,0.031,1/1/2005,2/11/2020 13:19,,0,0,
IM Lup,TT,M0,12.1,158,4,632,48,80,0.61,,15 56 09.23,-37 56 05.9,,,,143,0.05,1/1/2005,12/20/2019 0:03,,0,0,
HD 131835,Debris,A2IV,7.95,120,3.5,420,75.1,82.3,1.65,HIP 73145,14 56 54.47,-35 41 43.7,Sco-Cen,,,61.4,0.04254,7/11/2017,3/13/2020 15:04,0.002,,,
HD 141569A,Trans,B9.5,7.1,99,7.5,743,51,83.3,1.1,,15 49 57.76,-03 55 16.2,,,4.5,356,0.09,1/1/2005,2/25/2018 20:39,0.0084,0,0,
TW Hya,TT,K7,11.4,56,8,448,0,84.6,1.1,,11 01 51.97,-34 42 17.6,,,8,,0.09,1/1/2005,11/8/2018 21:07,,0,0,
ASR 41,TT,,,316,20,6320,80,97,2.2,,03 28 51.32,+31 17 40.0,,,20,137,0.21,1/1/2005,1/12/2016,,0,0,
IC 348-IR,HAe,B7.5,,200,8,1600,87,100,0.8,,03 43 58.8,+32 01 52,,,,110,0.08,1/1/2005,7/17/2017 14:52,,0,0,
HD 35841,Debris,F3V,8.5,103,4.3,443,85,104.2,1.6,,05 26 36.59,-22 29 23.7,,,,166,0.04125,8/8/2017,3/18/2019 15:42,0.0013,,,
HD 15745,Debris,F2,7.5,64,7.5,480,52,145.4,0.6,,02 32 55.81,+37 20 01.4,,,,23,0.05157,1/1/2005,8/8/2017 13:22,0.0012,0,0,
HD 163296,HAe,A1e,6.9,101,7.4,747,48,148,0.6,,17 56 21.26,-21 57 21.6,,,,133,0.05,1/1/2005,12/19/2019 23:28,,0,0,
HD 142527,HAe,F6,8.4,140,7,980,30,175,1.65,,15 56 41.89,-42 19 23.3,,,,240,0.04,1/1/2005,12/26/2019 15:28,,0,0,
HD 206893,Debris,F5V,7.07,38.34,7.82,300,40,188.4,1.65,,21 45 21.90,-12 47 00.1,,,,69.95,0.0415,7/20/2017,12/26/2019 18:45,,,,
HD 92945,Debris,K1,7.2,21.6,10.2,220,63,204,0.6,,10 43 28.27,-29 03 51.4,,,,100,0.05,1/1/2005,4/11/2019 9:44,0.00076,0,0,
HD 139664,Debris,F5 IV-V,4.7,17.5,12,210,87,240,0.6,,15 41 11.38,-44 39 40.3,,,,77,0.05,1/1/2005,7/14/2017 15:21,0.00012,0,0,
HD 53143,Debris,K1,6.9,18.4,12,221,45,240,0.6,,06 59 59.66,-61 20 10.3,,,,147,0.05,1/1/2005,4/11/2019 14:05,0.0003,0,0,
HD 32297,Debris,A0,8.1,113,13.8,1559,90,267.6,0.6,,05 02 27.44,+07 27 39.7,,,,48,0.05157,1/1/2005,1/14/2020 22:34,0.0027,0,0,
HD 107146,Debris,G2,6.7,27.5,16,440,18,320,0.6,,12 19 06.50,+16 32 53.9,,,,38,0.05,1/1/2005,3/5/2020 8:27,0.0012,0,0,
HD 202628,Debris,G2V,6.4,24.5,17,417,61,340,0.6,,21 18 27.27,-43 20 04.7,,,8.2,134,0.05,9/23/2012,1/17/2020 21:13,0.00014,0,0,
AB Aur,HAe,A0e,7.1,144,18,2592,22,360,0.57,,04 55 45.93,+30 33 03.6,,,,58.6,0.05,1/1/2005,9/17/2017 21:55,,0,0,
HD 61005,Debris,G8,8.3,34.6,19,657,85,368.4,0.6,,07 35 47.46,-32 12 14.0,,,3,71,0.05157,1/1/2005,8/8/2017 13:16,0.0029,0,0,
HD 15115,Debris,F2,6.8,45,19.8,891,80,383.9,0.6,,02 26 16.25,+06 17 33.1,,,,99,0.05157,1/1/2005,3/5/2019 9:56,0.0005,0,0,
HD 207129,Debris,G2V,5.4,15.56,20.4,317,60,408,0.6,,21 48 15.75,-47 18 13.0,,,10.2,127,0.05,1/1/2005,4/5/2019 9:27,0.0001,0,0,
beta Pictoris,Debris,A5,3.9,19.3,26,502,90,520,0.6,,05 47 17.09,-51 03 59.5,,,2.6,32,0.05,1/1/2005,8/6/2017 17:02,0.002,0,0,
AU Mic,Debris,M1,8.9,9.94,29.25,291,90,585,0.6,HD 197481,20 45 09.53,-31 20 27.2,,,2.5,127,0.05,1/1/2005,7/17/2017 12:31,0.0002,0,0,
Fomalhaut,Debris,A3,1.2,7.2,41,295,66,820,0.6,HD 216956,22 57 39.05,-29 37 20.1,,,15,156,0.05,1/1/2005,2/10/2019 15:30,8.00E-05,0,0,
